Device:,rrqm/s,wrqm/s,r/s,w/s,rMB/s,wMB/s,avgrq-sz,avgqu-sz,await,r_await,w_await,svctm,%util
sda,1.4,0,0,1.4,0,0,4.57,0.75,57.29,0,57.29,333.71,46.72
dm-0,0,0,1.6,0,0.01,0,8,3.24,0,0,0,253.5,40.56
dm-1,0,0,0,1.6,0,0,4,0.34,50.12,0,50.12,213.25,34.12
sda,0,0,0.2,1.8,0.01,0,11.2,0.18,390.8,2036,208,88.4,17.68
dm-0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.16
dm-1,0,0,0,1.8,0,0,5.33,0.18,207.89,0,207.89,98.11,17.66
sda,0,0,0.4,2.2,0,0.01,6.77,0.09,58.85,89,53.36,34.38,8.94
dm-0,0,0,0.2,0,0,0,8,0,22,22,0,22,0.44
dm-1,0,0,0.2,2,0,0.01,7.27,0.09,67.55,156,58.7,38.64,8.5
sda,4,0,1,3.6,0.02,0.02,18.43,0.25,51.39,188,13.44,44.39,20.42
dm-0,0,0,5.2,0,0.02,0,8,1.02,194.88,194.88,0,37,19.24
dm-1,0,0,0,3.6,0,0.02,12.44,0.05,13.44,0,13.44,3.33,1.2
sda,0,0,0.4,2.6,0,0.01,8.53,0.11,38.73,287,0.54,35.27,10.58
dm-0,0,0,0.2,0,0,0,8,0.1,574,574,0,522,10.44
dm-1,0,0,0,2.4,0,0.01,9.33,0,0.58,0,0.58,0.58,0.14
sda,1.6,0.4,1,7,0.01,1.87,480.8,0.21,25.73,162.6,6.17,18.12,14.5
dm-0,0,0,2.4,0,0.01,0,8,0.19,80.83,80.83,0,14.83,3.56
dm-1,0,0,0.2,7.4,0,1.87,503.58,0.14,18.08,457,6.22,14.39,10.94
sda,0,0,0.2,1.6,0,0,5.33,0.01,4.22,34,0.5,4.22,0.76
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0.2,1.6,0,0,5.33,0.01,4.22,34,0.5,4.22,0.76
sda,2.2,0,0.8,2,0.01,0,11.43,0.15,53.79,187,0.5,33.64,9.42
dm-0,0,0,3,0,0.01,0,8,0.56,188.07,188.07,0,31.07,9.32
dm-1,0,0,0,2,0,0,4,0,0.5,0,0.5,0.5,0.1
sda,0,0,0,2.6,0,0.01,6.77,0,0.31,0,0.31,0.31,0.08
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,2.6,0,0.01,6.77,0,0.38,0,0.38,0.38,0.1
sda,0.8,0.4,0.6,3.6,0.01,0.02,11.43,0.02,4.71,28,0.83,3.57,1.5
dm-0,0,0,1.4,0,0.01,0,8,0.03,21.71,21.71,0,9.57,1.34
dm-1,0,0,0,4,0,0.02,9.2,0,0.85,0,0.85,0.4,0.16
sda,0,0,0.2,3,0,0.01,8.94,0.01,1.75,21,0.47,1.75,0.56
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0.2,2.6,0,0.01,10.21,0.01,2.07,21,0.62,2.07,0.58
sda,3,0,2,6,0.02,1.8,464.8,0.18,22.95,82.7,3.03,20.12,16.1
dm-0,0,0,5.4,0,0.02,0,8,0.27,48.89,48.89,0,29.15,15.74
dm-1,0,0,0,6,0,1.8,614.4,0.02,3.07,0,3.07,0.8,0.48
sda,0,0,0.6,2,0.01,0,8,0.02,6.46,25.67,0.7,4.38,1.14
dm-0,0,0,0.2,0,0,0,8,0.04,225,225,0,50,1
dm-1,0,0,0,2,0,0,4,0,0.7,0,0.7,0.7,0.14
sda,1.4,0,0.4,1.6,0.01,0,11.2,0.01,6.3,29.5,0.5,6.3,1.26
dm-0,0,0,1.6,0,0.01,0,8,0.07,43,43,0,5.37,0.86
dm-1,0,0,0.2,1.6,0,0,5.33,0,2.22,16,0.5,2.22,0.4
sda,0,0.2,0,2.4,0,0.01,6,0,0.83,0,0.83,0.75,0.18
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,2.6,0,0.01,5.54,0,0.77,0,0.77,0.62,0.16
sda,1.6,0.6,1,3.8,0.01,0.02,12.67,0.02,4.5,19,0.68,3.42,1.64
dm-0,0,0,2.6,0,0.01,0,8,0.05,18.69,18.69,0,5.92,1.54
dm-1,0,0,0,4.4,0,0.02,9.09,0,0.73,0,0.73,0.23,0.1
sda,0,0.8,0.2,4.6,0,0.02,8.29,0.01,1.12,17,0.43,0.88,0.42
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0.2,5.2,0,0.02,7.37,0.01,1.11,17,0.5,0.78,0.42
sda,1.8,0,0.8,5.2,0.01,1.52,521.87,0.02,3.67,12.5,2.31,1.17,0.7
dm-0,0,0,2.6,0,0.01,0,8,0.03,12,12,0,2,0.52
dm-1,0,0,0,5.2,0,1.52,598.15,0.01,2.27,0,2.27,0.31,0.16
sda,8.4,0,8.4,2.2,0.07,0.01,14.94,0.26,24.62,30.93,0.55,6.98,7.4
dm-0,0,0,17.2,0,0.07,0,8,0.54,31.34,31.34,0,4.22,7.26
dm-1,0,0,0,2.2,0,0.01,9.45,0,0.55,0,0.55,0.55,0.12
sda,0,0,0,2,0,0.01,8.8,0,1,0,1,1,0.2
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,2,0,0.01,8.8,0,1,0,1,1,0.2
sda,1.4,0.2,0.4,2.4,0.01,0.01,10.86,0.01,4.86,31,0.5,4.79,1.34
dm-0,0,0,1.6,0,0.01,0,8,0.08,49,49,0,6.12,0.98
dm-1,0,0,0.2,2.6,0,0.01,6.29,0,1.36,13,0.46,1.36,0.38
sda,0,0.6,0,3.6,0,0.02,10.22,0,0.22,0,0.22,0.22,0.08
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,4.2,0,0.02,8.76,0,0.19,0,0.19,0.19,0.08
sda,0,0.2,0,3.2,0,0.01,5.12,1.12,350.81,0,350.81,136.37,43.64
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,3,0,0.01,5.47,1.23,411,0,411,145.47,43.64
sda,2,0,0.6,5,0.01,1.68,618,0.2,35.04,70.67,30.76,27.43,15.36
dm-0,0,0,2.6,0,0.01,0,8,0.23,86.69,86.69,0,14.08,3.66
dm-1,0,0,0,5,0,1.68,688,0.15,30.76,0,30.76,23.4,11.7
sda,0,0,0.2,2,0,0,5.09,0.08,34.73,377,0.5,34.73,7.64
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0.2,2,0,0,5.09,0.08,34.73,377,0.5,34.73,7.64
sda,0,0,0,1.6,0,0,4,0,0.5,0,0.5,0.5,0.08
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,1.6,0,0,4,0,0.5,0,0.5,0.5,0.08
sda,0,0,0,2.6,0,0.02,12.92,0.14,52.23,0,52.23,52.23,13.58
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,2.6,0,0.02,12.92,0.14,52.31,0,52.31,52.23,13.58
sda,0.8,0.2,0.4,3.8,0,0.02,12.57,0.1,22.95,143.5,10.26,18.05,7.58
dm-0,0,0,1,0,0,0,8,0.19,189,189,0,37.8,3.78
dm-1,0,0,0.2,4,0,0.02,10.67,0.06,13.95,98,9.75,9.05,3.8
sda,0,0,0.4,2.8,0,0,4.06,0.03,9.88,75.5,0.5,9.88,3.16
dm-0,0,0,0.4,0,0,0,8,0.03,75.5,75.5,0,75.5,3.02
dm-1,0,0,0,2.4,0,0,4.08,0,0.5,0,0.5,0.5,0.12
sda,2,0,0.8,1.8,0.01,0,12.31,0.19,73.85,13.75,100.56,72,18.72
dm-0,0,0,2.8,0,0.01,0,8,0.04,14,14,0,2.21,0.62
dm-1,0,0,0,1.8,0,0,5.33,0.18,100.56,0,100.56,100.56,18.1
sda,0,0,0,6.8,0,2.35,707.29,1.72,252.79,0,252.79,21.12,14.36
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,6.8,0,2.35,707.29,1.72,252.79,0,252.79,21.12,14.36
sda,2.4,0,0.8,2,0.01,0,12.57,0.08,27.36,94.5,0.5,20.21,5.66
dm-0,0,0,3,0,0.01,0,8,0.4,133.6,133.6,0,17.53,5.26
dm-1,0,0,0.2,2,0,0,5.09,0,1.82,15,0.5,1.82,0.4
sda,0,0,0,2.4,0,0.01,6,0,0.33,0,0.33,0.33,0.08
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,2.4,0,0.01,6,0,0.33,0,0.33,0.33,0.08
sda,0.8,0.2,0.8,3,0.01,0.03,18.11,1.13,298.26,1135,75.13,119.89,45.56
dm-0,0,0,1.6,0,0.01,0,8,2.04,1272.5,1272.5,0,283.75,45.4
dm-1,0,0,0,3.2,0,0.03,17.5,0.23,70.56,0,70.56,68.5,21.92
sda,0.2,0,1.2,2.4,0.01,0,5.39,0.71,198.11,219.17,187.58,105.11,37.84
dm-0,0,0,1.4,0,0.01,0,8,0.27,194.71,194.71,0,135,18.9
dm-1,0,0,0,2,0,0,4.1,0.45,225.1,0,225.1,102,20.4
sda,1.4,0.2,0.4,2.4,0.01,0.01,12.57,0.09,32.43,124,17.17,32.43,9.08
dm-0,0,0,1.6,0,0.01,0,8,0.31,195,195,0,24.38,3.9
dm-1,0,0,0.2,2.6,0,0.01,8,0.09,32.79,53,31.23,18.5,5.18
sda,0,0,0,5.6,0,1.71,625.71,0.95,164.57,0,164.57,32.25,18.06
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,5.8,0,1.71,604.14,0.95,158.9,0,158.9,31.14,18.06
sda,0.4,0,0.4,1.8,0,0,5.82,0.06,40.36,122,22.22,15.91,3.5
dm-0,0,0,0.8,0,0,0,8,0.1,120,120,0,31.5,2.52
dm-1,0,0,0,1.6,0,0,4,0.01,25,0,25,6.12,0.98
sda,1.4,0.2,1,2.4,0.01,0.01,10.35,0.32,94.53,231.2,37.58,68.18,23.18
dm-0,0,0,2.2,0,0.01,0,8,0.22,100.09,100.09,0,87.36,19.22
dm-1,0,0,0.2,2.6,0,0.01,6.29,0.13,46.14,195,34.69,46.14,12.92
sda,1,0.4,0.6,3.2,0.01,0.02,12.63,0.01,3.21,18.33,0.38,2.21,0.84
dm-0,0,0,1.6,0,0.01,0,8,0.04,23.12,23.12,0,4.62,0.74
dm-1,0,0,0,3.6,0,0.02,9.78,0,0.39,0,0.39,0.39,0.14
sda,0,0,0,2.4,0,0.01,4.33,0.05,22.08,0,22.08,22.08,5.3
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,2.2,0,0.01,4.73,0.05,24.09,0,24.09,24.09,5.3
sda,1,0,0.4,2,0.01,0,8,0.05,21.5,126,0.6,17.92,4.3
dm-0,0,0,1.4,0,0.01,0,8,0.26,186.71,186.71,0,30.14,4.22
dm-1,0,0,0,2,0,0,4,0,0.6,0,0.6,0.6,0.12
sda,0,0,0.4,2.2,0,0.01,10.46,0.01,2.38,13,0.45,2.38,0.62
dm-0,0,0,0.2,0,0,0,8,0.01,26,26,0,26,0.52
dm-1,0,0,0.2,2.2,0,0.01,10.67,0,0.42,0,0.45,0.42,0.1
sda,2.6,0,0.4,7.2,0.01,2.4,649.89,1.25,164.82,272,158.86,30.45,23.14
dm-0,0,0,3,0,0.01,0,8,0.82,273.87,273.87,0,36.27,10.88
dm-1,0,0,0,7.2,0,2.4,682.67,1.14,158.86,0,158.86,24,17.28
sda,0,0.2,0,2.4,0,0.01,6,0,0.5,0,0.5,0.5,0.12
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,2.6,0,0.01,5.54,0,0.46,0,0.46,0.46,0.12
sda,0,0.4,0.2,3.8,0,0.02,9.2,0,0.55,1,0.53,0.25,0.1
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0.2,4.2,0,0.02,8.36,0,0.59,1,0.57,0.23,0.1
sda,0,0.2,0.2,3.4,0,0.01,4.83,0.01,1.44,20,0.35,1.44,0.52
dm-0,0,0,0.2,0,0,0,8,0,20,20,0,20,0.4
dm-1,0,0,0,3.2,0,0.01,4.94,0,0.31,0,0.31,0.31,0.1
sda,1.8,0,0.2,1.8,0.01,0,9.6,0.41,5.6,51,0.56,92.2,18.44
dm-0,0,0,2.4,0,0.01,0,8,0.94,29.75,29.75,0,76.5,18.36
dm-1,0,0,0,2,0,0,4,0.05,0.5,0,0.5,25.8,5.16
sda,1.8,0,3.8,1.8,0.04,0,14,1.06,260,352.84,64,30.89,17.3
dm-0,0,0,2.6,0,0.01,0,8,0.39,481.85,481.85,0,28.77,7.48
dm-1,0,0,2.6,1.6,0.02,0,11.81,0.91,229.14,325.85,72,38.57,16.2
sda,1.8,0.2,2.8,6,0.02,1.88,440.55,0.13,14.82,37.43,4.27,7.59,6.68
dm-0,0,0,4.4,0,0.02,0,8,0.16,36.41,36.41,0,13.55,5.96
dm-1,0,0,0.2,6.2,0,1.88,600.25,0.03,4.16,0,4.29,1.09,0.7
sda,1,0,0.4,2.6,0.01,0.01,9.6,0.09,29,212,0.85,15.4,4.62
dm-0,0,0,1.4,0,0.01,0,8,0.29,204.86,204.86,0,31.71,4.44
dm-1,0,0,0,2.6,0,0.01,6.77,0,0.85,0,0.85,0.69,0.18
sda,0,0.4,0.2,4,0,0.02,11.81,0.04,10.48,121,4.95,10.48,4.4
dm-0,0,0,0.2,0,0,0,8,0.02,121,121,0,121,2.42
dm-1,0,0,0,4.4,0,0.02,10.91,0.02,4.5,0,4.5,4.5,1.98
sda,0,0.2,0,2.6,0,0.01,5,0,0.38,0,0.38,0.38,0.1
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,2.6,0,0.01,5,0,0.38,0,0.38,0.38,0.1
sda,0,0,0.2,2.2,0,0.01,8.67,0.01,3.17,1,3.36,3.17,0.76
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0.2,2.2,0,0.01,8.67,0.01,3.08,1,3.27,3.08,0.74
sda,1,0,0.4,2,0.01,0,8,0.02,8,45.5,0.5,4.58,1.1
dm-0,0,0,1.4,0,0.01,0,8,0.07,47.43,47.43,0,7.14,1
dm-1,0,0,0,2,0,0,4,0,0.4,0,0.4,0.4,0.08
sda,0,0,0,2,0,0,4,0,0.5,0,0.5,0.5,0.1
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,2,0,0,4,0,0.5,0,0.5,0.5,0.1
sda,2.4,0,1.6,6.4,0.02,1.97,508.8,0.18,22.48,95.62,4.19,9.93,7.94
dm-0,0,0,3.8,0,0.01,0,8,0.46,120.32,120.32,0,20.16,7.66
dm-1,0,0,0.2,6.4,0,1.97,612.12,0.03,4.09,0,4.22,0.45,0.3
sda,0,0.2,0,4,0,0.02,9.2,0,0.35,0,0.35,0.35,0.14
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,4.2,0,0.02,8.76,0,0.33,0,0.33,0.33,0.14
sda,1,0.2,0.4,2.4,0.01,0.01,8,0.02,6.07,38,0.75,3.64,1.02
dm-0,0,0,1.4,0,0.01,0,8,0.05,38.57,38.57,0,6,0.84
dm-1,0,0,0,2.4,0,0.01,4.67,0,0.75,0,0.75,0.75,0.18
sda,0,0,0.2,2.4,0,0.01,8.62,0.03,12.38,2,13.25,7.54,1.96
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0.2,2.4,0,0.01,8.62,0.03,12.38,2,13.25,7.54,1.96
sda,1,0,0.4,2.2,0.01,0.01,11.69,0.09,33.54,175.5,7.73,25.08,6.52
dm-0,0,0,1.4,0,0.01,0,8,0.33,239.14,239.14,0,46.29,6.48
dm-1,0,0,0,2.2,0,0.01,8.73,0.02,7.73,0,7.73,7.73,1.7
sda,0,0,0,2,0,0,4,0,0.4,0,0.4,0.4,0.08
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,2,0,0,4,0,0.4,0,0.4,0.4,0.08
sda,1.8,0.2,0.6,2.2,0.01,0.01,12.57,0.02,8.29,32.33,1.73,5.79,1.62
dm-0,0,0,2.4,0,0.01,0,8,0.07,29.42,29.42,0,5.17,1.24
dm-1,0,0,0,2.4,0,0.01,6.67,0,1.58,0,1.58,1.58,0.38
sda,0,0.2,0.2,8,0,2.08,520,0.04,5.46,0,5.6,0.41,0.34
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0.2,8.2,0,2.08,507.62,0.05,5.57,0,5.71,0.4,0.34
sda,0,0,0,2.6,0,0.01,4.38,0,0.46,0,0.46,0.46,0.12
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,2.2,0,0.01,5.18,0,0.55,0,0.55,0.55,0.12
sda,0,0,0,2,0,0,4,0,0.6,0,0.6,0.6,0.12
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,2,0,0,4,0,0.6,0,0.6,0.6,0.12
sda,1,0,1,2,0.01,0,8.53,0.03,10.27,29.8,0.5,5.87,1.76
dm-0,0,0,1.8,0,0.01,0,8,0.07,36.89,36.89,0,9.22,1.66
dm-1,0,0,0.2,2,0,0,5.09,0,0.36,0,0.4,0.36,0.08
sda,0,0,0,2.4,0,0.01,8,0,2,0,2,2,0.48
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,2.4,0,0.01,8,0,2,0,2,2,0.48
sda,1.8,0.2,0.8,2.6,0.01,0.01,11.76,0.03,8.65,35.25,0.46,4.88,1.66
dm-0,0,0,2.6,0,0.01,0,8,0.09,33.46,33.46,0,5.92,1.54
dm-1,0,0,0,2.8,0,0.01,6.86,0,0.43,0,0.43,0.43,0.12
sda,0.2,0.6,0.8,9.4,0,1.53,309.04,0.04,3.76,14.75,2.83,1.49,1.52
dm-0,0,0,0.4,0,0,0,8,0.01,22,22,0,11,0.44
dm-1,0,0,0.6,9.8,0,1.53,302.79,0.04,3.56,12.33,3.02,1.04,1.08
sda,1,0.2,66,7.2,10.81,0.03,303.31,5.47,74.69,77.36,50.25,9.69,70.9
dm-0,0,0,1.6,0,0.01,0,8,0.12,72.12,72.12,0,33.88,5.42
dm-1,0,0,65.4,6.8,10.8,0.03,307.34,5.42,75.14,77.08,56.41,9.21,66.5
sda,1,0,9.2,1.8,1.32,0.01,246.55,0.29,26.11,28.89,11.89,16.6,18.26
dm-0,0,0,1.6,0,0.01,0,8,0.33,208.62,208.62,0,41.25,6.6
dm-1,0,0,8.6,1.8,1.31,0.01,259.54,0.21,20.37,22.14,11.89,13.56,14.1
sda,1,0,0.4,2,0.01,0,8,0.01,3.83,21.5,0.3,2.08,0.5
dm-0,0,0,1.4,0,0.01,0,8,0.03,21.71,21.71,0,3.14,0.44
dm-1,0,0,0,2,0,0,4,0,0.3,0,0.3,0.3,0.06
sda,0,0,0,2,0,0,4,0,0.6,0,0.6,0.6,0.12
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,2,0,0,4,0,0.6,0,0.6,0.6,0.12
sda,0,12.4,1,4.8,0.22,0.06,101.52,0.04,6.9,35.2,1,6.55,3.8
dm-0,0,0,0,15.2,0,0.06,8,0.03,2,0,2,0.14,0.22
dm-1,0,0,1,2,0.22,0,155.73,0.04,12,35.2,0.4,11.87,3.56
sda,0,6.4,62.6,14.8,3.19,0.33,93.27,7.55,97.55,120.22,1.64,2.51,19.42
dm-0,0,0,0,7.8,0,0.03,8,0.02,2,0,2,0.62,0.48
dm-1,0,0,62.6,13.2,3.19,0.3,94.42,7.55,99.56,120.22,1.61,2.5,18.96
sda,2,1,2.4,14.8,0.81,0.43,147.9,0.53,30.81,105.58,18.69,6.48,11.14
dm-0,0,0,2.8,0,0.01,0,8,0.1,34.14,34.14,0,5.36,1.5
dm-1,0,0,1.6,15.6,0.8,0.43,146.59,0.49,28.58,133.75,17.79,6.31,10.86
sda,0,0,1.8,1.6,0.8,0,483.76,0.4,117.76,221.78,0.75,21.18,7.2
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,1.8,1.6,0.8,0,483.76,0.4,117.76,221.78,0.75,21.18,7.2
sda,2.4,0,2.79,5.39,0.81,0.03,210.54,0.18,21.83,63.36,0.3,4.49,3.67
dm-0,0,0,2.99,0,0.01,0,8,0.08,26.73,26.73,0,4.33,1.3
dm-1,0,0,2.2,5.39,0.8,0.03,224,0.16,21.37,73.09,0.3,3.13,2.38
sda,0,0.6,4,4.8,1.32,0.02,311.64,0.28,31.75,69.6,0.21,9.68,8.52
dm-0,0,0,0.2,0,0,0,8,0,19,19,0,19,0.38
dm-1,0,0,3.8,5.4,1.32,0.02,297.91,0.28,29.96,72.26,0.19,9.26,8.52
sda,1.4,0.2,2.4,4.6,0.65,0.02,195.89,0.4,57.49,147.08,10.74,24.49,17.14
dm-0,0,0,2,0,0.01,0,8,0.12,60.4,60.4,0,28.9,5.78
dm-1,0,0,1.8,4.8,0.64,0.02,205.33,0.34,52.24,164,10.33,17.21,11.36
sda,2,0.4,1.2,4.4,0.01,0.02,11.43,0.1,17.82,81.67,0.41,10.21,5.72
dm-0,0,0,3.2,0,0.01,0,8,0.19,59.5,59.5,0,17.62,5.64
dm-1,0,0,0,4.8,0,0.02,8,0,0.42,0,0.42,0.21,0.1
sda,2.2,0,0.8,5.4,0.01,0.03,13.06,0.02,3.03,15.75,1.15,2.29,1.42
dm-0,0,0,2.8,0,0.01,0,8,0.05,19.14,19.14,0,3.14,0.88
dm-1,0,0,0.2,5.2,0,0.03,10.85,0.01,1.15,1,1.15,0.96,0.52
sda,0,0.4,0,4.2,0,0.02,8.38,0,0.19,0,0.19,0.19,0.08
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,4.6,0,0.02,7.65,0,0.17,0,0.17,0.17,0.08
sda,1.4,0.2,0.2,4.4,0.01,0.02,11.83,0,0.91,16,0.23,0.91,0.42
dm-0,0,0,1.6,0,0.01,0,8,0.03,16,16,0,2,0.32
dm-1,0,0,0,4.6,0,0.02,9.04,0,0.22,0,0.22,0.22,0.1
sda,0,0.2,0.2,4.6,0,0.02,8.33,0,0.17,1,0.13,0.17,0.08
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0.2,4.8,0,0.02,8,0,0.16,1,0.12,0.16,0.08
sda,0,0,0,4.6,0,0.02,7.65,0,0.39,0,0.39,0.39,0.18
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,4.6,0,0.02,7.65,0,0.39,0,0.39,0.39,0.18
sda,0,0.6,0,4.6,0,0.02,7.65,0,0.22,0,0.22,0.17,0.08
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,5.2,0,0.02,6.77,0,0.19,0,0.19,0.15,0.08
sda,2.4,1,1,8.8,0.02,0.05,12.76,0.07,6.86,42.6,2.8,5.67,5.56
dm-0,0,0,2.8,0,0.01,0,8,0.25,88.57,88.57,0,11.36,3.18
dm-1,0,0,0.6,9.6,0,0.05,10.06,0.04,3.51,18,2.6,2.31,2.36
sda,0,0.4,0.2,4.8,0,0.02,9.28,0,0.24,1,0.21,0.24,0.12
dm-0,0,0,0,0.6,0,0,8,0,1,0,1,0.67,0.04
dm-1,0,0,0.2,4.6,0,0.02,8.67,0,0.17,1,0.13,0.17,0.08
sda,26.86,9893.83,131.23,203.08,12.51,39.59,319.11,255.9,761.9,853,703.03,4.27,142.65
dm-0,0,0,31.23,10121.34,0.12,39.54,8,8031.38,766.15,446.46,767.13,0.14,142.17
dm-1,0,0,138.95,11.83,12.54,0.05,170.95,125.93,823.87,827.17,785.1,9.46,142.65
sda,44.9,1405.76,108.77,61.39,9.66,5.85,186.66,50.18,300.98,264.91,364.89,1.95,33.12
dm-0,0,0,53.27,1495.03,0.21,5.84,8,237.35,153.7,163.73,153.34,0.21,33.12
dm-1,0,0,112.83,1.96,10.2,0.01,182.05,29.31,268.06,267.49,301,2.88,33.12
sda,185.69,4162.62,131.21,716.9,15.3,18.98,82.77,197.71,230.7,252.6,226.69,1.4,118.69
dm-0,0,0,215.31,4962.62,0.84,19.39,8,1215.96,233.47,235.03,233.4,0.23,118.69
dm-1,0,0,110.74,17.5,13.65,0.07,219.07,31.47,237.02,247.8,168.78,9.27,118.81
sda,121.6,2572.2,97,348.8,10.89,11.8,104.24,98.12,223.13,281.55,206.89,2,89.34
dm-0,0,0,142.8,2894.8,0.56,11.31,8,688.54,228.91,215.74,229.56,0.29,89.36
dm-1,0,0,79.4,3.2,11.06,0.01,274.64,22.92,282.68,292.17,47.31,10.82,89.36
sda,258.4,979,213.4,252.8,22.73,8.21,135.94,32.99,72.25,89.67,57.55,2.07,96.62
dm-0,0,0,298.6,978.2,1.17,3.82,8,120.38,94.32,86,96.86,0.76,96.54
dm-1,0,0,175.8,253.6,20.69,4.39,119.64,21.1,50.61,89.77,23.47,2.2,94.26
sda,328,547,215.2,442.8,11.39,14.6,80.89,19.43,29.76,74.81,7.86,1.5,98.48
dm-0,0,0,412.8,0,1.61,0,8,16.88,41.15,41.15,0,2.34,96.66
dm-1,0,0,178.6,990,9.56,14.62,42.38,22.04,19.02,79.45,8.12,0.59,69.46
sda,267.4,707,237,140,24.76,5.58,164.84,30.92,66.86,99.06,12.36,2.77,104.54
dm-0,0,0,311.4,709.4,1.22,2.77,8,24.32,22.78,56.77,7.86,0.93,94.5
dm-1,0,0,206,137.4,24.35,2.78,161.85,28.67,66.87,102.84,12.94,3.03,104.2
sda,40.8,2703,98.2,505,9.24,20.41,100.64,40.01,71.7,346.66,18.23,1.54,92.9
dm-0,0,0,46,2416,0.18,9.44,8,11.83,5.23,138.07,2.7,0.23,57.46
dm-1,0,0,103.2,794,8.99,10.98,45.59,60.89,71.33,345.4,35.71,0.99,88.44
sda,341,317.6,97.4,287.8,6.06,7.69,73.13,11.23,33.52,113.2,6.55,2.69,103.52
dm-0,0,0,390.6,0,1.53,0,8,27.66,67.95,67.95,0,2.65,103.52
dm-1,0,0,45.8,604.4,3.89,7.69,36.49,9.42,17.29,182.89,4.74,1.25,80.96
sda,195,1940.4,51.2,850.4,2.65,25.18,63.23,20.86,23.66,78.12,20.38,1.03,92.52
dm-0,0,0,223.4,1062.6,0.87,4.15,8,154.24,120.9,71.05,131.38,0.61,78.78
dm-1,0,0,29.4,1721.8,2.79,21.09,27.93,10.67,6.27,67.58,5.23,0.51,88.44
sda,351.4,213,92.4,277.2,5.27,8.63,77.03,13.31,37.08,105.7,14.21,2.67,98.72
dm-0,0,0,404.6,0,1.58,0,8,15.26,37.91,37.91,0,2.4,97.16
dm-1,0,0,31.8,482,2.38,8.58,43.65,11.87,23.86,244.64,9.3,1.87,96.14
sda,198.4,1743.8,207.2,439.8,27.74,11.41,123.91,19.14,29.42,65.78,12.29,1.53,99.04
dm-0,0,0,227,1474.6,0.89,5.76,8,47.98,28.19,31.62,27.66,0.33,56.42
dm-1,0,0,259.4,698.2,27.93,5.63,71.78,23.1,24.01,68.25,7.58,1.03,98.88
sda,677.8,821.8,271.4,54.2,34.92,3.43,241.18,18.05,53.93,54.48,51.16,3.33,108.36
dm-0,0,0,780.4,862.8,3.05,3.37,8,77.63,46.94,35.64,57.16,0.63,103.48
dm-1,0,0,173,13.2,32.06,0.06,353.19,12,62.15,64.77,27.76,5.82,108.34
sda,425.4,708.6,265.8,183,31.26,3.48,158.56,30.38,64.72,80.88,41.23,2.42,108.58
dm-0,0,0,488.2,888.6,1.91,3.47,8,59.06,42.71,56.34,35.22,0.79,108.54
